0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:16:14 +0900] "GET /clientweb/images/background.gif HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:18:13 +0900] "GET /clientweb/css/css_texttest.html HTTP/1.1" 200 2823
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:18:13 +0900] "GET /clientweb/images/background.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:20:25 +0900] "GET /clientweb/css/css_texttest.html HTTP/1.1" 200 2924
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:20:25 +0900] "GET /clientweb/images/background.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:20:26 +0900] "GET /clientweb/css/css_texttest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:20:44 +0900] "GET /clientweb/css/css_texttest.html HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:23:08 +0900] "GET /clientweb/css/css_texttest.html HTTP/1.1" 200 3035
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:23:08 +0900] "GET /clientweb/images/background.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:24:38 +0900] "GET /clientweb/css/css_cursor_test.html HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:32:52 +0900] "GET /clientweb/css/css_hyperA_test.html HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:34:50 +0900] "GET /clientweb/css/css_hyperA_test.html HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:36:18 +0900] "GET /clientweb/css/css_hyperA_test.html HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:37:00 +0900] "GET /clientweb/css/css_hyperA_test.html HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:37:15 +0900] "GET /clientweb/css/css_hyperA_test.html HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:38:44 +0900] "GET /clientweb/css/css_hyperA_test.html HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:38:49 +0900] "GET /clientweb/css/css_hyperA_test.html HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:39:41 +0900] "GET /clientweb/css/css_hyperA_test.html HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:39:42 +0900] "GET /clientweb/css/css_hyperA_test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:40:21 +0900] "GET /clientweb/css/css_hyperA_test.html HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:40:40 +0900] "GET /clientweb/css/css_hyperA_test.html HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:44:35 +0900] "GET /clientweb/css/css_list_test.html HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:45:15 +0900] "GET /clientweb/css/css_list_test.html HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:45:28 +0900] "GET /clientweb/css/css_list_test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:45:28 +0900] "GET /clientweb/css/css_list_test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:11:45:50 +0900] "GET /clientweb/css/css_list_test.html HTTP/1.1" 200 536
