127.0.0.1 - - [10/Jan/2020:09:32:57 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:36:28 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2029
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:36:28 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:36:29 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:37:49 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2151
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:37:59 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:39:14 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2194
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:43:19 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:43:21 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:46:02 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2424
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:49:27 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2418
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:08:10 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2702
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:09:30 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2733
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:09:31 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
