127.0.0.1 - - [02/Jan/2020:10:08:16 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:08:17 +0900] "GET /clientweb/html/link.html HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:08:17 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:10:51 +0900] "GET /clientweb/html/link.html HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:12:13 +0900] "GET /clientweb/html/link.html HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:12:15 +0900] "GET /clientweb/html/link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:12:16 +0900] "GET /clientweb/html/link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:12:38 +0900] "GET /clientweb/html/link.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:17:42 +0900] "GET /clientweb/html/link.html HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:17:43 +0900] "GET /clientweb/html/lounge.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:17:43 +0900] "GET /clientweb/images/drinks.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:19:35 +0900] "GET /clientweb/html/link.html HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:19:35 +0900] "GET /clientweb/images/jang1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:19:43 +0900] "GET /clientweb/html/lounge/html HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:20:00 +0900] "GET /clientweb/html/lounge/html HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:20:09 +0900] "GET /clientweb/html/link.html HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:35:36 +0900] "GET /clientweb/html/table1.html HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:38:55 +0900] "GET /clientweb/html/table1.html HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:41:10 +0900] "GET /clientweb/html/table1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:41:10 +0900] "GET /clientweb/html/table1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:41:11 +0900] "GET /clientweb/html/table1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:41:29 +0900] "GET /clientweb/html/table1.html HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:42:01 +0900] "GET /clientweb/html/table1.html HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:42:08 +0900] "GET /clientweb/html/table1.html HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:42:18 +0900] "GET /clientweb/html/table1.html HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:42:28 +0900] "GET /clientweb/html/table1.html HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:42:40 +0900] "GET /clientweb/html/table1.html HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:42:56 +0900] "GET /clientweb/html/table1.html HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:43:04 +0900] "GET /clientweb/html/table1.html HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:43:21 +0900] "GET /clientweb/html/table1.html HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:44:22 +0900] "GET /clientweb/html/table1.html HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:45:07 +0900] "GET /clientweb/html/table1.html HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:46:10 +0900] "GET /clientweb/html/table1.html HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:47:58 +0900] "GET /clientweb/html/table1.html HTTP/1.1" 200 704
0:0:0:0:0:0:0:1 - - [02/Jan/2020:11:09:20 +0900] "GET /clientweb/html/table2.html HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [02/Jan/2020:11:09:46 +0900] "GET /clientweb/html/table2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:11:09:46 +0900] "GET /clientweb/html/table2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:11:10:21 +0900] "GET /clientweb/html/table2.html HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [02/Jan/2020:11:10:33 +0900] "GET /clientweb/html/table2.html HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [02/Jan/2020:11:10:35 +0900] "GET /clientweb/html/table2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:11:10:42 +0900] "GET /clientweb/html/table2.html HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [02/Jan/2020:11:11:13 +0900] "GET /clientweb/html/table2.html HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [02/Jan/2020:11:11:21 +0900] "GET /clientweb/html/table2.html HTTP/1.1" 200 493
