127.0.0.1 - - [06/Jan/2020:10:20:15 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:20:17 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:20:17 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:22:35 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:22:45 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:23:25 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:23:26 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:23:28 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:23:43 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:24:05 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:24:06 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:24:06 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:24:07 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:24:07 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:24:07 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:24:22 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 200 701
